BESCHRIJVING DECLARATIE,REFERENTIE FACTUUR,DATUM FACTUUR - extracted,LEVERANCIER - EXTRACTED,BETAALD BEDRAG - extracted from invoice,VALUTA - extracted from invoice,BETAALD BEDRAG - declared ,LEVERANCIER - DECLARED,KOSTENRUBRIEK - declared,DATUM FACTUUR - DECLARED,DECLARATIEDATUM (can be assumed to be close to payment date),FLC: REDEN VERWERPING,Target,CONVERSION RATE,double,late,amount,supplier,category,eligible,latest,pred.late,pred.amount,pred.supplier,pred.date
construction of a prototype testing facility,INV2024-024,2021-09-29,Construction Dynamics,16297.049529515962,euro ,16297.049529515962,Construction Dynamics,infrastructure and building,2021-09-29,2022-01-02,,0,,0,0,0,0,0,0,2022-03-29,0,0,0,0
hiring a graphic designer for project presentation materials,INV2024-025,2019-05-27,Creative Design Studios,837.2772611685978,euro ,830.2772611685978,Creative Design Studios,external services,2019-05-27,2019-08-25,please specify the correct invoiced amount,1,,0,0,1,0,0,0,2019-11-27,0,0,0,0
gasoline costs for project-related site visits,INV-2024-001,2019-12-12,Local Gas Station,105.00958615410529,euro ,105.00958615410529,Local Gas Station,travel costs,2019-12-12,2020-01-04,,0,,0,0,0,0,0,0,2020-06-12,0,0,0,0
environmental impact assessment study,INV-2024-002,2020-06-11,EcoConsulting Services,4238.504617053154,euro ,4238.504617053154,EcoConsulting Services,external services,2020-06-11,2020-08-01,,0,,0,0,0,0,0,0,2020-12-11,0,0,0,0
procurement of field research equipment,INV-2024-003,2022-01-02,Field Research Supplies,6277.138117967109,euro ,6277.138117967109,Field Research Supplies,equipment,2022-01-02,2022-04-08,,0,,0,0,0,0,0,0,2022-07-02,0,0,0,0
purchase of materials for building a greenhouse,INV-2024-004,2020-04-30,Greenhouse Builders Ltd.,7274.833706714127,euro ,7274.833706714127,Greenhouse Builders ,infrastructure and building,2020-04-30,2020-11-06,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2020-10-30,1,0,1,0
printing and binding of project documentation,INV-2024-005,2022-11-23,Print Services Co.,546.9306354624134,euro ,546.9306354624134,Print Services Co.,preparation costs,2022-11-23,2023-04-16,,0,,0,0,0,0,0,0,2023-05-23,0,0,0,0
wine and wodka for the team,INV-2024-006,2020-09-22,Holiday Inn,53.82282768882634,euro ,53.82282768882634,Holiday Inn,travel costs,2020-09-22,2020-11-14,purchase not eligible for subsidy,1,,0,0,0,0,0,1,2021-03-22,0,0,0,0
it consultancy for setting up project database,INV-2024-007,2018-01-01,Tech Solutions Ltd.,2000.2359796255048,euro ,2000.2359796255048,Tech Solutions Ltd.,external services,2018-01-01,2018-06-22,,0,,0,0,0,0,0,0,2018-07-01,0,0,0,0
acquisition of specialized machinery for manufacturing,INV-2024-008,2019-03-15,Industrial Machinery Co.,8241.312420316528,euro ,8241.312420316528,Industrial Machinery Co.,equipment,2019-03-15,2019-09-07,,0,,0,0,0,0,0,0,2019-09-15,0,0,0,0
hiring a professional grant writer to draft and refine the project proposal.,INV-2024-010,2022-03-02,Grant Writing Services,1575.2279229355875,euro ,1575.2279229355875,Grant Writing Services,preparation costs,2022-03-02,2022-09-01,,0,,0,0,0,0,0,0,2022-09-02,0,0,0,0
cocktail after team-building event,INV-2024-011,2018-05-17,MOJO,208.63314456398805,euro ,208.63314456398805,MOJO,travel costs,2018-05-17,2018-07-29,purchase not eligible for subsidy,1,,0,0,0,0,0,1,2018-11-17,0,0,0,0
consulting fees for a specialized research firm to conduct market analysis for the project.,INV-2024-012,2021-07-26,Market Research Inc.,5198.65402302989,euro ,5198.65402302989,Market Research Inc.,external services,2021-07-26,2021-12-25,,0,,0,0,0,0,0,0,2022-01-26,0,0,0,0
purchase of laboratory equipment such as microscopes and test tubes for experimental research.,INV-2024-013,2020-05-16,Scientific Equipment Co.,8610.691549501997,euro ,8610.691549501997,Scientific Equipment Co.,equipment,2020-05-16,2020-10-15,,0,,0,0,0,0,0,0,2020-11-16,0,0,0,0
renovation costs for converting an existing space into a research laboratory.,INV-2024-014,2019-11-25,Construction Services Ltd.,10972.950448499367,euro ,10981.950448499367,Construction Services Ltd.,infrastructure and building,2019-11-25,2020-02-14,please specify the correct invoiced amount,1,,0,0,1,0,0,0,2020-05-25,0,1,0,0
printing and binding of project proposal documents for distribution to stakeholders.,INV-2024-015,2021-06-05,Printing Services,547.3012026329392,euro ,547.3012026329392,Printing Services,preparation costs,2021-06-05,2021-09-04,,0,,0,0,0,0,0,0,2021-12-05,0,0,0,0
beers at friday night team,INV-2024-016,2018-06-03,Little Joseph's place,214.20382057578976,euro ,214.20382057578976,Little Joseph's place,travel costs,2018-06-03,2018-09-27,purchase not eligible for subsidy,1,,0,0,0,0,0,1,2018-12-03,0,0,0,0
legal consultation fees for reviewing and advising on project contracts and agreements.,INV-2024-017,2019-09-17,Harrison and partners,2533.756490194548,euro ,2533.756490194548,Harrison,external services,2019-09-17,2020-03-28,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2020-03-17,1,0,1,0
construction of a greenhouse facility for agricultural research experiments.,INV-2024-019,2020-10-13,Greenhouse Builders Inc.,15415.371196646085,euro ,15415.371196646085,Greenhouse Builders Inc.,infrastructure and building,2020-10-13,2020-12-07,,0,,0,0,0,0,0,0,2021-04-13,0,0,0,0
payment for a project management software subscription to coordinate team tasks.,INV-2024-020,2022-01-22,Online Software Vendor,1009.5022935404822,euro ,1009.5022935404822,Online Software Vendor,preparation costs,2022-01-22,2022-05-26,,0,,0,0,0,0,0,0,2022-07-22,0,0,0,0
accommodation costs for project team members attending a week-long training workshop.,INV-2024-021,2018-11-18,Holiday -Inn,1623.260142514337,euro ,1623.260142514337,Holiday Inn,travel costs,2018-11-18,2019-01-03,,0,,0,0,0,0,0,0,2019-05-18,0,0,1,0
design and development costs for creating a project website and promotional materials.,INV-2024-022,2018-02-07,Smile Web Design,4219.641527696058,euro ,4219.641527696058,Smile,external services,2018-02-07,2018-05-10,,0,,0,0,0,0,0,0,2018-08-07,0,0,1,0
purchase of materials for constructing a test track for automotive engineering research.,INV-2024-024,2021-09-23,Construction Materials Co.,8259.877077872583,euro ,8259.877077872583,Construction Materials Co.,infrastructure and building,2021-09-23,2021-10-16,,0,,0,0,0,0,0,0,2022-03-23,0,0,0,0
compensation for project team members' time spent attending proposal writing workshops.,INV-2024-025,2019-03-20,Training Organization,798.8845640981772,euro ,798.8845640981772,Training Organization,preparation costs,2019-03-20,2019-06-11,,0,,0,0,0,0,0,0,2019-09-20,0,0,0,0
reimbursement for public transportation fares incurred during site visits for data collection.,INV-2024-026,2020-09-04,NMBS,309.33746167152185,euro ,309.33746167152185,NMBS,travel costs,2020-09-04,2021-03-05,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2021-03-04,1,0,0,0
hiring an environmental consulting firm to conduct impact assessments for a construction project.,INV-2024-027,2019-04-08,Environmental Consultants,6575.97126285134,euro ,6575.97126285134,Environmental Consultants,external services,2019-04-08,2019-04-22,,0,,0,0,0,0,0,0,2019-10-08,0,0,0,0
purchase of high-performance computing servers for simulation-based research.,INV-2024-028,2019-06-10,Technology Supplier,20497.541623847323,euro ,20497.541623847323,Technology Supplier,equipment,2019-06-10,2019-07-10,,0,,0,0,0,0,0,0,2019-12-10,0,0,0,0
renovation of existing office space to accommodate additional project staff.,INV-2024-029,2020-05-24,Office Renovation Company,9565.304606612017,euro ,9565.304606612017,Office Renovation Company,infrastructure and building,2020-05-24,2020-10-12,,0,,0,0,0,0,0,0,2020-11-24,0,0,0,0
consulting services for drafting project proposal,INV-2024-030,2022-12-30,ABC Consultancy,2810.155468175846,dollar,2587.381887649246,ABC Consultancy,preparation costs,2022-12-30,2023-05-16,,0,,0,0,0,0,0,0,2023-06-30,0,0,0,0
airfare for attending international project conference,INV-2024-031,2019-02-26,XYZ Airlines,1260.6026968904926,euro ,1260.6026968904926,XYZ Airlines,travel costs,2019-02-26,2019-07-11,,0,,0,0,0,0,0,0,2019-08-26,0,0,0,0
legal advice on project compliance,INV-2024-032,2018-03-02,Law Firm LLP,3818.277153634194,euro ,3818.277153634194,Law Firm LLP,external services,2018-03-02,2018-04-20,,0,,0,0,0,0,0,0,2018-09-02,0,0,0,0
purchase of laboratory equipment,INV-2024-033,2020-04-25,ScienceTech,5014.204743286809,euro ,5014.204743286809,ScienceTech Ltd,equipment,2020-04-25,2020-06-08,,0,,0,0,0,0,0,0,2020-10-25,0,0,1,0
research assistant salary for proposal development,INV-2024-035,2020-12-24,Research Agency,3161.730172698568,euro ,3161.730172698568,Research Agency,preparation costs,2020-12-24,2021-04-23,,0,,0,0,0,0,0,0,2021-06-24,0,0,0,0
train tickets for project team to attend workshops,INV-2024-036,2020-10-23,RailCo,860.0192667594828,euro ,860.0192667594828,RailCo,travel costs,2020-10-23,2021-01-21,,0,,0,0,0,0,0,0,2021-04-23,0,0,0,0
statistical analysis services for project data,INV-2024-037,2022-09-16,Data Analytics Co,4358.89863451519,euro ,4358.89863451519,Data Analytics Co,external services,2022-09-16,2022-10-14,,0,,0,0,0,0,0,0,2023-03-16,0,0,0,0
purchase of specialized software licenses,INV-2024-038,2020-09-15,Tech Solutions,1635.0061230174965,euro ,1635.0061230174965,Tech Solutions,equipment,2020-09-15,2021-02-26,,0,,0,0,0,0,0,0,2021-03-15,0,0,0,0
construction of eco-friendly research facility,INV-2024-039,2022-03-26,GreenBuild Inc.,21230.994236795745,euro ,21230.994236795745,GreenBuild Inc.,infrastructure and building,2022-03-26,2022-04-10,,0,,0,0,0,0,0,0,2022-09-26,0,0,0,0
printing and binding of project proposal documents,INV-2024-040,2020-11-01,Print Shop Ltd,509.81678635224705,euro ,509.81678635224705,Print Shop Ltd,preparation costs,2020-11-01,2021-03-21,,0,,0,0,0,0,0,0,2021-05-01,0,0,0,0
accommodation for project team during field research,INV-2024-041,2022-12-30,Lodge & Stay,1536.0896262534482,euro ,1536.0896262534482,Lodge & Stay,travel costs,2022-12-30,2023-07-01,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2023-06-30,1,0,0,0
engineering consultation for prototype development,INV-2024-042,2021-09-07,Engineering Corp.,6118.181663993062,euro ,6118.181663993062,Engineering Corp.,external services,2021-09-07,2022-02-07,,0,,0,0,0,0,0,0,2022-03-07,0,0,0,0
installation of energy-efficient lighting system,INV-2024-044,2020-03-27,EcoTech Solutions,4123.983176328469,euro ,4123.983176328469,EcoTech Solutions,infrastructure and building,2020-03-27,2020-09-06,,0,,0,0,0,0,0,0,2020-09-27,0,0,0,0
subscription to online project management platform,INV-2024-045,2019-03-24,ProjectPlus,323.68560952652547,euro ,323.68560952652547,ProjectPlus,preparation costs,2019-03-24,2019-04-02,,0,,0,0,0,0,0,0,2019-09-24,0,0,0,0
translation services for project documents,INV-2024-047,2019-12-26,Lingua Solutions,2003.989103957947,euro ,2003.989103957947,Lingua Solutions,external services,2019-12-26,2020-04-07,,0,,0,0,0,0,0,0,2020-06-26,0,0,0,0
acquisition of test tubes and laboratory consumables,INV-2024-048,2020-06-05,Lab Supplies Co,875.7840946568381,euro ,875.7840946568381,Lab Supplies Co,equipment,2020-06-05,2020-11-18,,0,,0,0,0,0,0,0,2020-12-05,0,0,0,0
hiring a consultant to conduct market research,INV-2024-049,2019-02-17,Market Research Inc.,5492.5345661133915,euro ,5492.5345661133915,Market Research Inc.,preparation costs,2019-02-17,2019-03-21,,0,,0,0,0,0,0,0,2019-08-17,0,0,0,0
plane tickets for attending an international conference,INV-2024-050,2022-04-22,Global Airline,1602.5056201096722,euro ,1602.5056201096722,Global Airline,travel costs,2022-04-22,2022-10-25,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2022-10-22,1,0,0,0
legal consultation for patent filing,INV-2024-076,2022-08-13,Legal Firm XYZ,3216.6501163049593,euro ,3216.6501163049593,Legal Firm XYZ,external services,2022-08-13,2022-09-05,,0,,0,0,0,0,0,0,2023-02-13,0,0,0,0
purchase of laboratory equipment for experiments,INV-2024-077,2022-07-28,LabTech Supplies,10577.1125562645,euro ,10577.1125562645,LabTech Supplies,equipment,2022-07-28,2023-02-06,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2023-01-28,1,0,0,0
renovation of a laboratory space for project experimentation,INV-2024-078,2021-04-05,Construction Co.,8145.060539416471,euro ,8145.060539416471,Construction Co.,infrastructure and building,2021-04-05,2021-07-12,,0,,0,0,0,0,0,0,2021-10-05,0,0,0,0
hiring a graphic designer for proposal document design,INV-2024-079,2018-02-11,Design Studio ABC,2157.0851726554183,euro ,2157.0851726554183,Design Studio ABC,preparation costs,2018-02-11,2018-03-19,,0,,0,0,0,0,0,0,2018-08-11,0,0,0,0
train tickets for attending project meeting,INV-2024-080,2019-11-23,Rail Company XYZ,530.831166117199,euro ,530.831166117199,Rail Company XYZ,travel costs,2019-11-23,2020-01-01,,0,,0,0,0,0,0,0,2020-05-23,0,0,0,0
purchase of specialized tools for fieldwork,INV-2024-082,2020-04-02,ToolMart,2705.0445374228225,euro ,2705.0445374228225,ToolMart,equipment,2020-04-02,2020-09-30,,0,,0,0,0,0,0,0,2020-10-02,0,0,0,0
construction of a greenhouse for agricultural experiments,INV-2024-083,2021-12-05,Greenhouse Co.,12489.88269029677,euro ,12489.88269029677,Greenhouse Co.,infrastructure and building,2021-12-05,2022-02-12,,0,,0,0,0,0,0,0,2022-06-05,0,0,0,0
printing and binding of project proposal documents,INV-2024-084,2022-04-15,Print Shop XYZ,834.0221072063277,euro ,834.0221072063277,Print Shop XYZ,preparation costs,2022-04-15,2022-04-22,,0,,0,0,0,0,0,0,2022-10-15,0,0,0,0
rental car for field research,INV-2024-085,2018-06-05,Car Rental Inc.,435.85193565887243,euro ,435.85193565887243,Car Rental Inc.,travel costs,2018-06-05,2018-11-19,,0,,0,0,0,0,0,0,2018-12-05,0,0,0,0
environmental impact assessment study,INV-2024-086,2019-07-12,Environmental Consultancy,6332.9534567048995,euro ,6332.9534567048995,Environmental Consultancy,external services,2019-07-12,2020-01-16,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2020-01-12,1,0,0,0
acquisition of high-resolution cameras for data collection,INV-2024-087,2021-02-15,CameraTech Inc.,7068.255043689396,euro ,7068.255043689396,CameraTech Inc.,equipment,2021-02-15,2021-02-23,,0,,0,0,0,0,0,0,2021-08-15,0,0,0,0
purchase of land for establishing a project site,INV-2024-088,2022-07-26,Real Estate Agency,27167.477703433196,euro ,27167.477703433196,Real Estate Agency,infrastructure and building,2022-07-26,2022-09-20,,0,,0,0,0,0,0,0,2023-01-26,0,0,0,0
fees for translation services,INV-2024-089,2020-11-24,Translation Agency,1005.4477152763151,euro ,1005.4477152763151,Translation Agency,preparation costs,2020-11-24,2021-03-29,,0,,0,0,0,0,0,0,2021-05-24,0,0,0,0
reimbursement for mileage during project fieldwork,INV-2024-090,2021-09-14,Gas Station XYZ,313.98501404238516,euro ,313.98501404238516,Gas Station XYZ,travel costs,2021-09-14,2021-12-25,,0,,0,0,0,0,0,0,2022-03-14,0,0,0,0
market analysis report,INV-2024-091,2019-01-18,Market Research Inc.,4350.455519019148,euro ,4350.455519019148,Market Research Inc.,external services,2019-01-18,2019-03-02,,0,,0,0,0,0,0,0,2019-07-18,0,0,0,0
purchase of specialized software for data analysis,INV-2024-092,2021-09-23,DataTech Solutions,6050.103999511549,euro ,6050.103999511549,DataTech Solutions,equipment,2021-09-23,2021-12-22,,0,,0,0,0,0,0,0,2022-03-23,0,0,0,0
hiring a professional grant writer,INV-2024-093,2022-11-05,ABC Consulting,2526.6451730309227,euro ,2526.6451730309227,ABC Consulting,preparation costs,2022-11-05,2023-03-02,,0,,0,0,0,0,0,0,2023-05-05,0,0,0,0
plane tickets for attending an international conference,INV-2024-094,2019-03-26,XYZ Airlines,1318.1616885910555,euro ,1318.1616885910555,XYZ Airlines,travel costs,2019-03-26,2019-04-11,,0,,0,0,0,0,0,0,2019-09-26,0,0,0,0
legal advice for patenting project results,INV-2024-095,2020-12-13,Legal Solutions Ltd,3255.9124317314754,euro ,3255.9124317314754,Legal Solutions Ltd,external services,2020-12-13,2021-03-19,,0,,0,0,0,0,0,0,2021-06-13,0,0,0,0
purchase of specialized laboratory equipment,INV-2024-096,2022-07-02,LabTech,8555.12967101637,euro ,8555.12967101637,LabTech,equipment,2022-07-02,2022-11-11,,0,,0,0,0,0,0,0,2023-01-02,0,0,0,0
renovation of laboratory space,INV-2024-097,2022-12-26,BuildWell Renovations,5066.263056306288,euro ,5066.263056306288,BuildWell Renovations,infrastructure and building,2022-12-26,2023-05-27,,0,,0,0,0,0,0,0,2023-06-26,0,0,0,0
printing and binding of project proposal documents,INV-2024-098,2020-02-18,PrintHub,304.55831012022344,euro ,304.55831012022344,PrintHub,preparation costs,2020-02-18,2020-09-04,"costs that are declared too late, can only be reimbursed for 50%",1,,0,1,0,0,0,0,2020-08-18,1,0,0,0
train tickets for site visits,INV-2024-099,2018-01-25,National Rail,532.5751627583307,euro ,532.5751627583307,National Rail,travel costs,2018-01-25,2018-03-12,,0,,0,0,0,0,0,0,2018-07-25,0,0,0,0
graphic design services for project visuals,INV-2024-100,2020-01-10,Creative Studio,1528.3056606139178,euro ,1528.3056606139178,Creative ,external services,2020-01-10,2020-07-04,,0,,0,0,0,0,0,0,2020-07-10,0,0,1,0
purchase of high-performance computer,INV-2024-217,2022-03-29,TechEmporium,2624.577336270358,euro ,2624.577336270358,San Luca,equipment,2022-03-29,2022-07-30,please specify the correct supplier,1,,0,0,0,1,0,0,2022-09-29,0,0,1,0
construction of experimental greenhouse,INV-2024-218,2022-05-31,Greenhouse Builders,10039.483580516238,euro ,10039.483580516238,Greenhouse Builders,infrastructure and building,2022-05-31,2022-09-12,,0,,0,0,0,0,0,0,2022-11-30,0,0,0,0
consultancy for project feasibility study,INV-2024-219,2018-03-05,Strategy Consult,3677.3218002170456,euro ,3677.3218002170456,Strategy Consult,preparation costs,2018-03-05,2018-08-21,,0,,0,0,0,0,0,0,2018-09-05,0,0,0,0
car rental for fieldwork,INV-2024-220,2021-07-13,CarGo Rentals,765.3934918742528,euro ,765.3934918742528,CarGo ,travel costs,2021-07-13,2021-10-02,,0,,0,0,0,0,0,0,2022-01-13,0,0,1,0
statistical analysis services for data interpretation,INV-2024-221,2021-12-23,StatsPro,2121.2963877267084,euro ,2121.2963877267084,StatsPro,external services,2021-12-23,2022-05-21,,0,,0,0,0,0,0,0,2022-06-23,0,0,0,0
acquisition of laboratory consumables,INV-2024-222,2019-04-02,BioSupplies,1691.327165285073,dollar,1503.4019246978428,BioSupplies,equipment,2019-04-02,2019-04-11,,0,,0,0,0,0,0,0,2019-10-02,0,0,0,0
purchase of construction materials for prototype testing,INV-2024-223,2008-05-22,Building Mart,2172.2797520349145,euro ,2172.2797520349145,Building Mart,infrastructure and building,2018-05-22,2008-06-24,,0,,0,0,0,0,0,0,2018-11-22,0,0,0,1
